flight_path,number_of_flights,mean_departure_delay,probablility_of_dep_delay,max_departure_delay,mean_arrival_delay,probablility_of_arr_delay,max_arrival_delay,flag_Isolation Forest,score_Isolation Forest,flag_Local Outlier Factor,score_Local Outlier Factor,flag_One-Class SVM,score_One-Class SVM,flag_Elliptic Envelope,score_Elliptic Envelope,flag_DBSCAN,score_DBSCAN,votes,consensus
"Aberdeen, SD -> Minneapolis, MN",60,9.983333333333333,0.25,318.0,4.916666666666667,0.35,299.0,False,0.04834202321172232,False,0.018233354695615614,False,0.046811063450409515,False,0.0024343088984605504,False,0.0,0,False
"Abilene, TX -> Dallas/Fort Worth, TX",168,5.428571428571429,0.23809523809523808,453.0,8.273809523809524,0.47023809523809523,432.0,False,0.1870362524742551,False,0.10848447957620384,False,0.17716516318843933,False,0.009225627587357291,False,0.0,0,False
"Adak Island, AK -> Anchorage, AK",9,-1.3333333333333333,0.4444444444444444,21.0,-11.11111111111111,0.2222222222222222,17.0,False,0.18489108315487224,False,0.12481521847931329,False,0.1781661402953448,False,0.0038111778173380434,False,0.0,0,False
"Aguadilla, PR -> Fort Lauderdale, FL",58,8.706896551724139,0.5172413793103449,87.0,4.517241379310345,0.4827586206896552,79.0,False,0.11555907900825539,False,0.014089167237163141,False,0.11252056050335069,False,0.0015953544033973075,False,0.0,0,False
"Aguadilla, PR -> New York, NY",34,4.352941176470588,0.4117647058823529,50.0,0.8529411764705882,0.4117647058823529,69.0,False,0.05179719115807792,False,0.017881783514030768,False,0.11268307097971858,False,0.0016737218605245919,False,0.0,0,False
"Aguadilla, PR -> Newark, NJ",31,12.774193548387096,0.41935483870967744,156.0,3.870967741935484,0.3548387096774194,160.0,False,0.035542523467838184,False,0.01791307587287139,False,0.06783584737849302,False,0.0011151186673660353,False,0.0,0,False
"Aguadilla, PR -> Orlando, FL",72,18.25,0.4444444444444444,624.0,12.069444444444445,0.4166666666666667,631.0,False,0.25030109091069835,False,0.051241486865050916,False,0.16919903850313997,False,0.01989090790356492,False,0.0,0,False
"Akron, OH -> Atlanta, GA",87,7.620689655172414,0.26436781609195403,509.0,4.436781609195402,0.40229885057471265,520.0,False,0.1776938686001366,False,0.036225680830817994,False,0.1608959877827826,False,0.014914216349039439,False,0.0,0,False
"Akron, OH -> Charlotte, NC",139,8.007194244604317,0.2517985611510791,415.0,-0.9712230215827338,0.2805755395683453,396.0,False,0.12204348760955054,False,0.016731038693717556,False,0.061565231513928675,False,0.004943509865531584,False,0.0,0,False
"Akron, OH -> Chicago, IL",54,12.166666666666666,0.3888888888888889,160.0,12.0,0.48148148148148145,181.0,False,0.057075148336554804,False,0.015946546348703863,False,0.05424061428663113,False,0.0017185336598421043,False,0.0,0,False
"Akron, OH -> Fort Myers, FL",14,-2.5714285714285716,0.21428571428571427,22.0,-7.714285714285714,0.2857142857142857,41.0,False,0.08937704482646516,False,0.022540941050172684,False,0.07710791634554313,False,0.0016431542579733796,False,0.0,0,False
"Akron, OH -> Houston, TX",29,12.655172413793103,0.2413793103448276,209.0,21.448275862068964,0.5862068965517241,236.0,False,0.18144546186784583,False,0.09112394721368249,False,0.11897467029815133,False,0.005239370656094224,False,0.0,0,False
"Akron, OH -> New York, NY",25,-5.16,0.12,10.0,-8.12,0.32,34.0,False,0.16834367463080388,False,0.03995989327132862,False,0.10845184539269052,False,0.002992148060059924,False,0.0,0,False
"Akron, OH -> Newark, NJ",48,37.916666666666664,0.3541666666666667,999.0,35.395833333333336,0.4791666666666667,991.0,True,0.5318903668182156,False,0.02776093126667551,False,0.1539527177507407,False,0.04502766846354783,False,0.0,1,False
